metric_id,metric_name_canonical,metric_family,description,raw_or_derived,preferred_unit,preferred_currency,frequency,stock_or_flow,preferred_denominator,calculation_formula,inclusions,exclusions,known_definition_issues,comparability_requirements,priority_level
global_revenue_total,Global network revenue,global_financials,Global network member-firm revenue exactly as reported,raw,USD,USD,annual,flow,,,Source-defined member-firm revenue,Do not assume consolidated corporate revenue,Aggregate/combined/gross terminology and reimbursable-expense treatment differ,Same reporting perimeter; preserve fiscal dates and revenue definition,high
global_revenue_growth_reported,Reported global revenue growth,global_financials,Year-over-year growth exactly as highlighted by the source,raw,percent,,annual,rate,prior-year revenue,,Source-defined headline basis,,"May be local currency, constant currency, reported currency, or continuing operations",Growth basis must match,high
global_revenue_growth_local_currency,Global revenue growth in local currency,global_financials,Source-reported local-currency growth,raw,percent,,annual,rate,prior-year revenue,,Source-defined local-currency basis,FX translation effect,Constant exchange-rate method may vary,Same perimeter and exchange-rate method,high
global_revenue_growth_constant_currency,Global revenue growth in constant currency,global_financials,Source-reported constant-currency growth,raw,percent,,annual,rate,prior-year revenue,,Source-defined constant-currency basis,FX translation effect,Method may vary,Same perimeter and exchange-rate method,high
global_revenue_growth_usd,Global revenue growth in US dollars,global_financials,Source-reported US-dollar growth,raw,percent,,annual,rate,prior-year revenue,,Reported US-dollar basis,,May differ from growth calculated from rounded headline values,Same perimeter,high
global_people_total,Global people,workforce,Global workforce exactly as defined by the source,raw,people,,annual,source_specific,,,Source-defined people population,,"Average FTE, period-end headcount, and partner inclusion vary",Match timing and population definition,high
global_revenue_service_line,Global revenue by service line,service_line,Revenue for a source-defined global service line,raw,USD,USD,annual,flow,,,Source-defined service line,Do not split combined categories without support,Firm taxonomies and reorganizations differ,Original and canonical service labels required,high
global_revenue_region,Global revenue by reported region,geography,Revenue for a source-defined global region,raw,USD,USD,annual,flow,,,Source-defined region,Do not force a country bridge,"Regional boundaries differ, especially India and Central Asia",Original region retained,high
global_country_count,Countries served,organization,"Countries served or operated in, excluding territories only when the source separates them",raw,countries,,point_in_time,stock,,,Source-defined,Do not treat offices or cities as countries,Many sources combine countries and territories,Scope label must match,high
global_territory_count,Territories served,organization,Territories served when separately disclosed,raw,territories,,point_in_time,stock,,,Source-defined,,Often combined with countries,Separate disclosure required,medium
global_country_territory_count,Countries and territories served,organization,Combined country-and-territory presence exactly as reported,raw,countries_and_territories,,point_in_time,stock,,,Source-defined combined total,Do not relabel as countries only,Not separable,Compare only with combined totals,high
global_office_count,Global offices,organization,Physical offices exactly as reported,raw,offices,,point_in_time,stock,,,Source-defined,Do not substitute cities or countries,Office and site definitions differ,Exact as-of date and definition,medium
global_member_firm_count,Member firms,organization,Number of network member firms exactly as reported,raw,member_firms,,point_in_time,stock,,,Source-defined member firms,Do not substitute legal entities,Membership and legal-entity counts differ,Same definition,medium
global_location_count,Global locations,organization,Locations in the global network exactly as reported,raw,locations,,point_in_time,stock,,,Source-defined locations,Do not relabel locations as offices or cities,"Location, office, and city definitions differ",Compare only like-for-like source terms,medium
global_city_count,Global cities,organization,Cities in which the global network operates exactly as reported,raw,cities,,point_in_time,stock,,,Source-defined cities,Do not relabel cities as offices or locations,City and metropolitan-area definitions may differ,Exact as-of date and source term,medium
global_client_facing_entity_count,Client-facing entities,organization,Client-facing entities in the global network exactly as reported,raw,client_facing_entities,,point_in_time,stock,,,Source-defined client-facing entities,Do not substitute legal entities or member firms,Network and legal-entity structures differ,Same entity definition,medium
global_member_firms_and_affiliates_count,Member firms and affiliates,organization,Combined member-firm-and-affiliate count when the source does not permit separation,derived,entities,,point_in_time,stock,,Count source-listed entities,Member firms and affiliates exactly as source-listed,Do not relabel as member firms only,Affiliate status and entity structures differ across networks,Compare only with equally combined counts,medium
