check_id,check_type,firm_network,fiscal_year_label,status,affected_observation_ids,difference,resolution_or_caveat
qc_0001,service_line_reconciliation,Deloitte,FY2015,pass,obs_del_0006;obs_del_0067;obs_del_0068;obs_del_0069;obs_del_0070;obs_del_0071,1e+08,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0002,regional_reconciliation,Deloitte,FY2015,pass,obs_del_0006;obs_del_0122;obs_del_0124;obs_del_0123,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0003,service_line_reconciliation,Deloitte,FY2016,pass,obs_del_0007;obs_del_0072;obs_del_0073;obs_del_0074;obs_del_0075;obs_del_0076,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0004,regional_reconciliation,Deloitte,FY2016,pass,obs_del_0007;obs_del_0125;obs_del_0127;obs_del_0126,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0005,service_line_reconciliation,Deloitte,FY2017,pass,obs_del_0008;obs_del_0077;obs_del_0078;obs_del_0079;obs_del_0080;obs_del_0081,1e+08,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0006,regional_reconciliation,Deloitte,FY2017,pass,obs_del_0008;obs_del_0128;obs_del_0130;obs_del_0129,-1e+08,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0007,service_line_reconciliation,Deloitte,FY2018,pass,obs_del_0009;obs_del_0082;obs_del_0083;obs_del_0084;obs_del_0085;obs_del_0086,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0008,regional_reconciliation,Deloitte,FY2018,pass,obs_del_0009;obs_del_0131;obs_del_0133;obs_del_0132,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0009,service_line_reconciliation,Deloitte,FY2019,pass,obs_del_0010;obs_del_0087;obs_del_0088;obs_del_0089;obs_del_0090;obs_del_0091,1e+08,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0010,regional_reconciliation,Deloitte,FY2019,pass,obs_del_0010;obs_del_0134;obs_del_0136;obs_del_0135,1e+08,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0011,service_line_reconciliation,Deloitte,FY2020,pass,obs_del_0011;obs_del_0092;obs_del_0093;obs_del_0094;obs_del_0095;obs_del_0096,2e+08,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0012,regional_reconciliation,Deloitte,FY2020,pass,obs_del_0011;obs_del_0137;obs_del_0139;obs_del_0138,2e+08,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0013,service_line_reconciliation,Deloitte,FY2021,pass,obs_del_0012;obs_del_0097;obs_del_0098;obs_del_0099;obs_del_0100;obs_del_0101,2e+08,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0014,regional_reconciliation,Deloitte,FY2021,pass,obs_del_0012;obs_del_0140;obs_del_0142;obs_del_0141,2e+08,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0015,service_line_reconciliation,Deloitte,FY2022,pass,obs_del_0013;obs_del_0102;obs_del_0103;obs_del_0104;obs_del_0105;obs_del_0106,1e+08,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0016,regional_reconciliation,Deloitte,FY2022,pass,obs_del_0013;obs_del_0143;obs_del_0145;obs_del_0144,2e+08,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0017,service_line_reconciliation,Deloitte,FY2023,pass,obs_del_0014;obs_del_0107;obs_del_0108;obs_del_0109;obs_del_0110;obs_del_0111,2e+08,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0018,regional_reconciliation,Deloitte,FY2023,pass,obs_del_0014;obs_del_0146;obs_del_0148;obs_del_0147,1e+08,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0019,service_line_reconciliation,Deloitte,FY2024,pass,obs_del_0015;obs_del_0112;obs_del_0114;obs_del_0113,1e+08,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0020,regional_reconciliation,Deloitte,FY2024,pass,obs_del_0015;obs_del_0149;obs_del_0151;obs_del_0150,2e+08,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
